"timestamp","symbol","open","high","low","close","trades","volume","vwap","lastSize","turnover","homeNotional","foreignNotional"
"2015-03-09T00:00:00.000Z","XBTH15",289,288,285,285,2,1000,286.5,500,286500000,2.865,820.845
"2015-03-10T00:00:00.000Z","XBTH15",285,301,286.52,300,54,23896,296.616,2000,7087924450,70.8792445,21028.620098493004
"2015-03-11T00:00:00.000Z","XBTH15",300,309,300,304,41,31604,304.137,500,9611930680,96.1193068,29234.190170472
"2015-03-12T00:00:00.000Z","XBTH15",304,306,299,306,15,6450,302.333,500,1950049850,19.5004985,5895.810348024999
"2015-03-13T00:00:00.000Z","XBTH15",306,305,298.89,304,11,3735,302.232,110,1128836250,11.288362500000002,3411.816780125
"2015-03-14T00:00:00.000Z","XBTH15",304,303.04,291,291,25,5155,296.015,750,1525957550,15.2595755,4517.613798795001
"2015-03-15T00:00:00.000Z","XBTH15",291,293,286,291,15,4770,290.427,300,1385337500,13.853375,4023.4845382500002
"2015-03-16T00:00:00.000Z","XBTH15",291,294.5,290.63,294.5,7,450,292.458,50,131606000,1.3160600000000002,384.89876684999996
"2015-03-17T00:00:00.000Z","XBTH15",294.5,302,293,302,14,1281,299.717,28,383936950,3.8393695,1150.832079849
"2015-03-18T00:00:00.000Z","XBTH15",302,296.01,296,296,2,1000,296.005,500,296005000,2.96005,876.1896005
"2015-03-19T00:00:00.000Z","XBTH15",296,291,252,261.57,67,31062,274.057,1,8512772240,85.12772240000002,23341.833513971997
"2015-03-20T00:00:00.000Z","XBTH15",261.57,268.1,255.42,268.1,12,4507,257.581,1,1160918990,11.6091899,2990.3562085730005
"2015-03-21T00:00:00.000Z","XBTH15",268.1,266.47,262.57,263,8,4751,263.094,500,1249961470,12.4996147,3288.603311609
"2015-03-22T00:00:00.000Z","XBTH15",263,263,259.27,259.27,4,2000,261.568,500,523135000,5.231349999999999,1368.3996644999997
"2015-03-23T00:00:00.000Z","XBTH15",259.27,267,261,267,4,1420,263.84,500,374652400,3.746524,988.5674154799999
"2015-03-24T00:00:00.000Z","XBTH15",267,274.3,264,268,14,1706,268.623,192,458270300,4.582703,1231.0960265
"2015-03-25T00:00:00.000Z","XBTH15",268,263,245,248.5,11,3467,250.952,500,870051280,8.7005128,2184.822661944
"2015-03-26T00:00:00.000Z","XBTH15",248.5,248.76,237.05,246.5,28,14416,245.455,800,3538483970,35.3848397,8686.097946869
"2015-03-27T00:00:00.000Z","XBTH15",246.5,254.45,246.5,249,16,9833,251.287,500,2470909500,24.709095000000005,6209.434447500001
"2015-03-28T00:00:00.000Z","XBTH15",249,249.1,247.25,247.6,5,755842,247.6,754242,187146843200,1871.468432,463376.49467159994
